<fld>ADVERTISEMENT credits
<fld>DATE 04/07/2008
<fld>DUE_DATE 04/07/2008
<fld>BRCH 8747
<fld>DESCRIPTION ATM Withdrawal
<fld>AMOUNT -200.00
<fld>BALANCE 18301.68
<fld>DATE 04/06/2008
<fld>DUE_DATE 04/06/2008
<fld>BRCH 8712
<fld>DESCRIPTION Restaurant
<fld>AMOUNT -36.04
<fld>BALANCE 18337.72
<fld>DATE 04/05/2008
<fld>DUE_DATE 04/06/2008
<fld>BRCH 2145
<fld>DESCRIPTION Dry Cleaners
<fld>AMOUNT -53.10
<fld>BALANCE 18390.82
<fld>DATE 04/04/2008
<fld>DUE_DATE 04/05/2008
<fld>BRCH 9725
<fld>DESCRIPTION Retail Store
<fld>AMOUNT -69.98
<fld>BALANCE 18460.80
<fld>DATE 04/03/2008
<fld>DUE_DATE 04/05/2008
<fld>BRCH 6544
<fld>DESCRIPTION Exxon Service Station
<fld>AMOUNT -30.00
<fld>BALANCE 18490.80
<fld>DATE 04/03/2008
<fld>DUE_DATE 04/03/2008
<fld>BRCH 8747
<fld>DESCRIPTION Electric Co. Bill
<fld>AMOUNT -48.21
<fld>BALANCE 18539.01
<fld>DATE 04/01/2008
<fld>DUE_DATE 04/01/2008
<fld>BRCH 9441
<fld>DESCRIPTION Car Down Payment
<fld>AMOUNT -595.13
<fld>BALANCE 19134.14
<fld>DATE 03/31/2008
<fld>DUE_DATE 03/31/2008
<fld>BRCH 9441
<fld>DESCRIPTION Deposit
<fld>AMOUNT 2031.14
<fld>BALANCE 17103.00
<fld>DATE 03/28/2008
<fld>DUE_DATE 03/29/2008
<fld>BRCH 4121
<fld>DESCRIPTION Credit card Payment
<fld>AMOUNT -36.12
<fld>BALANCE 17139.12
<fld>STDATE 03/22/2008
<fld>FNLDATE 06/03/2008
<fld>TOTDEPOSIT 6217.54
<fld>TOTEXP 5560.98
<fld>BALANCEPER 656.56
<fld>FINALBAL 18425.45
<fld>PIE 1190.26 Car Down Payment,1350.00 ATM Whitdrawal,77.76 Credit card Payment,92.12 Electric Co. Bill,136.00 Service Station,61.31 Phone bill,873.21 Insurance premium
